comment,cleaned_comments,Tagged
"عالیه.
من خیلی از گوشی ها را امتحان کردم انواع هواوی...اچ تی سی....الجی....آیفون
ولی این از همش بهتره
در خریدش شک نکنین من حدود 9 ماهه که دارم
خیلی بهتر از آیفون هاست و قابلیت های بیشتری داره","عالیه 
من خیلی از گوشی‌ها را امتحان کردم انواع هواوی …اچ تی سی … الجی … آیفون
ولی این از همش بهتره
در خریدش شک نکنین من حدود ۹ ماهه که دارم
خیلی بهتر از آیفون هاست و قابلیت‌های بیشتری داره","[('عالیه', 'ADJ,EZ'), ('من', 'PRON'), ('خیلی', 'ADV'), ('از', 'ADP'), ('گوشی\u200cها', 'NOUN'), ('را', 'ADP'), ('امتحان', 'NOUN'), ('کردم', 'VERB'), ('انواع', 'NOUN,EZ'), ('هواوی', 'NOUN,EZ'), ('…اچ', 'NOUN'), ('تی', 'NOUN'), ('سی', 'NUM'), ('…', 'PUNCT'), ('الجی', 'NOUN'), ('…', 'PUNCT'), ('آیفون', 'NOUN'), ('ولی', 'CCONJ'), ('این', 'DET'), ('از', 'ADP'), ('همش', 'PRON'), ('بهتره', 'VERB'), ('در', 'ADP'), ('خریدش', 'NOUN'), ('شک', 'NOUN'), ('نکنین', 'VERB'), ('من', 'PRON'), ('حدود', 'DET,EZ'), ('۹', 'NUM'), ('ماهه', 'NOUN'), ('که', 'SCONJ'), ('دارم', 'VERB'), ('خیلی', 'ADV'), ('بهتر', 'ADJ'), ('از', 'ADP'), ('آیفون', 'NOUN'), ('هاست', 'VERB'), ('و', 'CCONJ'), ('قابلیت\u200cهای', 'NOUN,EZ'), ('بیشتری', 'ADJ'), ('داره', 'VERB')]"
با این قیمتی که این گوشی داره به جاش دوگزینه بهتر هست. اگه 5/5 اینچی میخواین y7 prime رو بخرید که هم دوربین سلفیش 8 هست. هم باطریش 4000 میلی آمپر هست. هم اینترنت cat6 داره و 4/5G رو با آپلود 300 مگ پشتیبانی میکنه. اگه صفحه 5/2 میخواین هم هونور 8 لایت بگیرید که هم سلفیش 8 هست و هم صفحش فول اچ دی. اما باز بین y7 prime و هونور8 لایت اگه بخواین انتخاب کنین، قطعأ y7 prime بهتره. امیدوارم واسه انتخاب، کمکتون کرده باشم.,با این قیمتی که این گوشی داره به جاش دوگزینه بهتر هست اگه ۵  ۵ اینچی میخواین y ۷ prime رو بخرید که هم دوربین سلفیش ۸ هست هم باطریش ۴۰۰۰ میلی‌آمپر هست هم اینترنت cat ۶ داره و ۴  ۵ G رو با آپلود ۳۰۰ مگ پشتیبانی میکنه اگه صفحه ۵  ۲ میخواین هم هونور ۸ لایت بگیرید که هم سلفیش ۸ هست و هم صفحش فول اچ دی اما باز بین y ۷ prime و هونور ۸ لایت اگه بخواین انتخاب کنین قطعأ y ۷ prime بهتره امیدوارم واسه انتخاب کمکتون کرده باشم,"[('با', 'ADP'), ('این', 'DET'), ('قیمتی', 'NOUN'), ('که', 'SCONJ'), ('این', 'DET'), ('گوشی', 'NOUN'), ('داره', 'VERB'), ('به', 'ADP'), ('جاش', 'NOUN'), ('دوگزینه', 'NOUN'), ('بهتر', 'ADJ'), ('هست', 'VERB'), ('اگه', 'SCONJ'), ('۵', 'NUM'), ('۵', 'NUM'), ('اینچی', 'NOUN'), ('میخواین', 'NOUN'), ('y', 'NOUN'), ('۷', 'NUM'), ('prime', 'NOUN'), ('رو', 'ADP'), ('بخرید', 'VERB'), ('که', 'SCONJ'), ('هم', 'CCONJ'), ('دوربین', 'NOUN,EZ'), ('سلفیش', 'ADJ'), ('۸', 'NUM'), ('هست', 'NOUN'), ('هم', 'CCONJ'), ('باطریش', 'NOUN'), ('۴۰۰۰', 'NUM'), ('میلی\u200cآمپر', 'NOUN'), ('هست', 'VERB'), ('هم', 'CCONJ'), ('اینترنت', 'NOUN'), ('cat', 'NOUN'), ('۶', 'NUM'), ('داره', 'VERB'), ('و', 'CCONJ'), ('۴', 'NUM'), ('۵', 'NUM'), ('G', 'NOUN'), ('رو', 'ADP'), ('با', 'ADP'), ('آپلود', 'NOUN,EZ'), ('۳۰۰', 'NUM'), ('مگ', 'NOUN'), ('پشتیبانی', 'NOUN'), ('میکنه', 'VERB'), ('اگه', 'SCONJ'), ('صفحه', 'NOUN,EZ'), ('۵', 'NUM'), ('۲', 'NUM'), ('میخواین', 'NOUN'), ('هم', 'CCONJ'), ('هونور', 'NOUN'), ('۸', 'NUM'), ('لایت', 'NOUN'), ('بگیرید', 'VERB'), ('که', 'SCONJ'), ('هم', 'CCONJ'), ('سلفیش', 'NOUN,EZ'), ('۸', 'NUM'), ('هست', 'VERB'), ('و', 'CCONJ'), ('هم', 'CCONJ'), ('صفحش', 'NOUN,EZ'), ('فول', 'NOUN'), ('اچ', 'NOUN'), ('دی', 'NOUN'), ('اما', 'CCONJ'), ('باز', 'ADV'), ('بین', 'ADP,EZ'), ('y', 'NOUN'), ('۷', 'NUM'), ('prime', 'NOUN'), ('و', 'CCONJ'), ('هونور', 'NOUN'), ('۸', 'NUM'), ('لایت', 'NOUN'), ('اگه', 'SCONJ'), ('بخواین', 'VERB'), ('انتخاب', 'NOUN,EZ'), ('کنین', 'NOUN'), ('قطعأ', 'NOUN,EZ'), ('y', 'NOUN'), ('۷', 'NUM'), ('prime', 'NOUN'), ('بهتره', 'VERB'), ('امیدوارم', 'VERB'), ('واسه', 'ADP'), ('انتخاب', 'NOUN,EZ'), ('کمکتون', 'NOUN'), ('کرده_باشم', 'VERB')]"
ما دو مدل از این دستگاها تو خونه داشتیم که جفتشون بد بودن اومدم اینجا اول نظراتو خوندم دیدم راضین بقیه. منم سفارش دادم .الان که ازش استفاده کردم دیدم واااقعا عالیه هم خود محصول با کلاس و خوشگل و خوش دسته هم خیلی راحت و بدون دردسر موهای بینی رو اصلاح کرد وظیفه دونستم کامنت بزارم,ما دو مدل از این دستگاها تو خونه داشتیم که جفتشون بد بودن اومدم اینجا اول نظراتو خوندم دیدم راضین بقیه منم سفارش دادم الان که ازش استفاده کردم دیدم وااقعا عالیه هم خود محصول با کلاس و خوشگل و خوش دسته هم خیلی راحت و بدون دردسر موهای بینی رو اصلاح کرد وظیفه دونستم کامنت بزارم,"[('ما', 'PRON'), ('دو', 'NUM'), ('مدل', 'NOUN'), ('از', 'ADP'), ('این', 'DET'), ('دستگاها', 'NOUN'), ('تو', 'ADP'), ('خونه', 'NOUN'), ('داشتیم', 'VERB'), ('که', 'SCONJ'), ('جفتشون', 'NOUN'), ('بد', 'ADJ'), ('بودن', 'NOUN'), ('اومدم', 'VERB'), ('اینجا', 'ADV'), ('اول', 'ADV'), ('نظراتو', 'NOUN'), ('خوندم', 'VERB'), ('دیدم', 'VERB'), ('راضین', 'NOUN,EZ'), ('بقیه', 'NOUN,EZ'), ('منم', 'PRON'), ('سفارش', 'NOUN'), ('دادم', 'VERB'), ('الان', 'ADV'), ('که', 'SCONJ'), ('ازش', 'ADP'), ('استفاده', 'NOUN'), ('کردم', 'VERB'), ('دیدم', 'VERB'), ('وااقعا', 'ADV'), ('عالیه', 'ADJ'), ('هم', 'CCONJ'), ('خود', 'PRON,EZ'), ('محصول', 'NOUN'), ('با', 'ADP'), ('کلاس', 'NOUN'), ('و', 'CCONJ'), ('خوشگل', 'ADJ'), ('و', 'CCONJ'), ('خوش', 'ADJ'), ('دسته', 'NOUN'), ('هم', 'CCONJ'), ('خیلی', 'ADV'), ('راحت', 'ADJ'), ('و', 'CCONJ'), ('بدون', 'ADP,EZ'), ('دردسر', 'NOUN,EZ'), ('موهای', 'NOUN,EZ'), ('بینی', 'NOUN'), ('رو', 'NOUN'), ('اصلاح', 'NOUN'), ('کرد', 'VERB'), ('وظیفه', 'NOUN'), ('دونستم', 'VERB'), ('کامنت', 'NOUN'), ('بزارم', 'VERB')]"
مهمترین قسمت اتو کفی اون هست و کفی این اتو اصلا خوب نیست. حتی اگه هفتاد درصد هم تخفیف بخوره ارزش خرید نداره. چون اون انتظاری که از یه اتو میره برآورد نمیکنه,مهمترین قسمت اتو کفی اون هست و کفی این اتو اصلا خوب نیست حتی اگه هفتاد درصد هم تخفیف بخوره ارزش خرید نداره چون اون انتظاری که از یه اتو میره برآورد نمیکنه,"[('مهمترین', 'ADJ'), ('قسمت', 'NOUN,EZ'), ('اتو', 'NOUN'), ('کفی', 'NOUN'), ('اون', 'PRON'), ('هست', 'VERB'), ('و', 'CCONJ'), ('کفی', 'NOUN'), ('این', 'DET'), ('اتو', 'NOUN'), ('اصلا', 'ADV'), ('خوب', 'ADJ'), ('نیست', 'VERB'), ('حتی', 'ADV'), ('اگه', 'SCONJ'), ('هفتاد', 'NUM'), ('درصد', 'NOUN'), ('هم', 'CCONJ'), ('تخفیف', 'NOUN'), ('بخوره', 'VERB'), ('ارزش', 'NOUN,EZ'), ('خرید', 'NOUN'), ('نداره', 'VERB'), ('چون', 'SCONJ'), ('اون', 'DET'), ('انتظاری', 'NOUN'), ('که', 'SCONJ'), ('از', 'ADP'), ('یه', 'NUM'), ('اتو', 'NOUN'), ('میره', 'VERB'), ('برآورد', 'NOUN'), ('نمیکنه', 'VERB')]"
"کیفست خوبی داره و بنظرم برای سفر خیلی مناسبه 
و وزنش هم نه زیاده و نه کم 
در کل بنظرم خیلی خوبه","کیفست خوبی داره و بنظرم برای سفر خیلی مناسبه
و وزنش هم نه زیاده و نه کم
در کل بنظرم خیلی خوبه","[('کیفست', 'NOUN,EZ'), ('خوبی', 'ADJ'), ('داره', 'VERB'), ('و', 'CCONJ'), ('بنظرم', 'NOUN'), ('برای', 'ADP,EZ'), ('سفر', 'NOUN,EZ'), ('خیلی', 'DET'), ('مناسبه', 'NOUN'), ('و', 'CCONJ'), ('وزنش', 'NOUN'), ('هم', 'CCONJ'), ('نه', 'ADV'), ('زیاده', 'VERB'), ('و', 'CCONJ'), ('نه', 'ADV'), ('کم', 'ADJ'), ('در', 'ADP'), ('کل', 'NOUN'), ('بنظرم', 'VERB'), ('خیلی', 'ADV'), ('خوبه', 'VERB')]"
هندزفری خیلی خوب و قوی ای هستش.صدا کاملا واضح و خوبه و نقطه قوتش بیس خیلی خوبشه.راضیم ازش.برای استفاده متوسط و روزمره خوبه از گوشم درنمیاد,هندزفری خیلی خوب و قوی‌ای هستش صدا کاملا واضح و خوبه و نقطه قوتش بیس خیلی خوبشه راضیم ازش برای استفاده متوسط و روزمره خوبه از گوشم درنمیاد,"[('هندزفری', 'NOUN'), ('خیلی', 'ADV'), ('خوب', 'ADJ'), ('و', 'CCONJ'), ('قوی\u200cای', 'ADJ'), ('هستش', 'VERB'), ('صدا', 'NOUN'), ('کاملا', 'ADV'), ('واضح', 'ADJ'), ('و', 'CCONJ'), ('خوبه', 'ADJ'), ('و', 'CCONJ'), ('نقطه', 'NOUN,EZ'), ('قوتش', 'NOUN'), ('بیس', 'NOUN'), ('خیلی', 'ADV'), ('خوبشه', 'VERB'), ('راضیم', 'VERB'), ('ازش', 'ADP'), ('برای', 'ADP,EZ'), ('استفاده', 'NOUN,EZ'), ('متوسط', 'ADJ'), ('و', 'CCONJ'), ('روزمره', 'ADJ'), ('خوبه', 'VERB'), ('از', 'ADP'), ('گوشم', 'NOUN'), ('درنمیاد', 'VERB')]"
"به نظر من بوی خوب و شیک و ملایمی داره...عطر گل و تازگی!
باعث سردرد هم نمیشه و دلیلش پخش بوی کم و البته لطافت این رایحه هست و اینکه ماندگاریش کم نیست!
من خیلی راضیم از خریدم چون دوست نداشتم خیلی بوی عطر پخش بشه در عین حال خودم کاملا حس میکنم و اگر کسی کنارم باشه کامل متوجه رایحه ی خوب این ادکلن میشه!","به نظر من بوی خوب و شیک و ملایمی داره …عطر گل و تازگی 
باعث سردرد هم نمیشه و دلیلش پخش بوی کم و البته لطافت این رایحه هست و اینکه ماندگاریش کم نیست 
من خیلی راضیم از خریدم چون دوست نداشتم خیلی بوی عطر پخش بشه در عین حال خودم کاملا حس می‌کنم و اگر کسی کنارم باشه کامل متوجه رایحه‌ی خوب این ادکلن میشه","[('به', 'ADP'), ('نظر', 'NOUN,EZ'), ('من', 'PRON'), ('بوی', 'NOUN,EZ'), ('خوب', 'ADJ'), ('و', 'CCONJ'), ('شیک', 'ADJ'), ('و', 'CCONJ'), ('ملایمی', 'ADJ'), ('داره', 'VERB'), ('…عطر', 'NOUN,EZ'), ('گل', 'NOUN'), ('و', 'CCONJ'), ('تازگی', 'NOUN'), ('باعث', 'ADJ,EZ'), ('سردرد', 'NOUN'), ('هم', 'CCONJ'), ('نمیشه', 'VERB'), ('و', 'CCONJ'), ('دلیلش', 'NOUN'), ('پخش', 'NOUN'), ('بوی', 'NOUN,EZ'), ('کم', 'ADJ'), ('و', 'CCONJ'), ('البته', 'ADV'), ('لطافت', 'NOUN,EZ'), ('این', 'DET'), ('رایحه', 'NOUN'), ('هست', 'VERB'), ('و', 'CCONJ'), ('اینکه', 'CCONJ'), ('ماندگاریش', 'NOUN'), ('کم', 'ADJ'), ('نیست', 'VERB'), ('من', 'PRON'), ('خیلی', 'ADV'), ('راضیم', 'VERB'), ('از', 'ADP'), ('خریدم', 'VERB'), ('چون', 'SCONJ'), ('دوست', 'NOUN'), ('نداشتم', 'VERB'), ('خیلی', 'ADV'), ('بوی', 'NOUN,EZ'), ('عطر', 'NOUN'), ('پخش', 'NOUN'), ('بشه', 'VERB'), ('در', 'ADP'), ('عین', 'NOUN,EZ'), ('حال', 'NOUN'), ('خودم', 'PRON'), ('کاملا', 'ADV'), ('حس', 'NOUN'), ('می\u200cکنم', 'VERB'), ('و', 'CCONJ'), ('اگر', 'SCONJ'), ('کسی', 'NOUN'), ('کنارم', 'VERB'), ('باشه', 'VERB'), ('کامل', 'ADV'), ('متوجه', 'ADJ,EZ'), ('رایحه\u200cی', 'NOUN,EZ'), ('خوب', 'ADJ,EZ'), ('این', 'DET'), ('ادکلن', 'NOUN'), ('میشه', 'NOUN')]"
من برای سمند معمولی گرفتم خیلی خوشگله وضمنا اعث عرق کردن هم نمیشه,من برای سمند معمولی گرفتم خیلی خوشگله وضمنا اعث عرق کردن هم نمیشه,"[('من', 'PRON'), ('برای', 'ADP,EZ'), ('سمند', 'NOUN'), ('معمولی', 'ADJ'), ('گرفتم', 'VERB'), ('خیلی', 'ADV'), ('خوشگله', 'ADJ'), ('وضمنا', 'CCONJ'), ('اعث', 'NOUN,EZ'), ('عرق', 'NOUN'), ('کردن', 'NOUN'), ('هم', 'CCONJ'), ('نمیشه', 'VERB')]"
خیلی عالیه,خیلی عالیه,"[('خیلی', 'ADV'), ('عالیه', 'ADJ')]"
من این ساعت رو دست کردم حس این ساعت های رو بهتون میده که دست فروش ها اون رو می فروش من رنگ سبز این کار رو دست کردم به نظر من واقعا ارزش این پول رو نداره,من این ساعت رو دست کردم حس این ساعت‌های رو بهتون میده که دست‌فروش‌ها اون رو می‌فروش من رنگ سبز این کار رو دست کردم به نظر من واقعا ارزش این پول رو نداره,"[('من', 'PRON'), ('این', 'DET'), ('ساعت', 'NOUN'), ('رو', 'ADP'), ('دست', 'NOUN'), ('کردم', 'VERB'), ('حس', 'NOUN,EZ'), ('این', 'DET'), ('ساعت\u200cهای', 'NOUN,EZ'), ('رو', 'NOUN'), ('بهتون', 'ADP'), ('میده', 'VERB'), ('که', 'SCONJ'), ('دست\u200cفروش\u200cها', 'NOUN'), ('اون', 'PRON'), ('رو', 'ADP'), ('می\u200cفروش', 'VERB'), ('من', 'PRON'), ('رنگ', 'NOUN,EZ'), ('سبز', 'ADJ,EZ'), ('این', 'DET'), ('کار', 'NOUN'), ('رو', 'ADP'), ('دست', 'NOUN'), ('کردم', 'VERB'), ('به', 'ADP'), ('نظر', 'NOUN,EZ'), ('من', 'PRON'), ('واقعا', 'ADV'), ('ارزش', 'NOUN,EZ'), ('این', 'DET'), ('پول', 'NOUN'), ('رو', 'ADP'), ('نداره', 'VERB')]"
باتوجه به قیمت خیلی کم این محصول و کاربردی بودنش ارزش خرید بالایی داره,باتوجه به قیمت خیلی کم این محصول و کاربردی بودنش ارزش خرید بالایی داره,"[('باتوجه', 'NOUN'), ('به', 'ADP'), ('قیمت', 'NOUN,EZ'), ('خیلی', 'ADV'), ('کم', 'ADJ'), ('این', 'DET'), ('محصول', 'NOUN'), ('و', 'CCONJ'), ('کاربردی', 'ADJ'), ('بودنش', 'NOUN'), ('ارزش', 'NOUN,EZ'), ('خرید', 'NOUN,EZ'), ('بالایی', 'ADJ'), ('داره', 'VERB')]"
متاسفانه ساعت کارکرد نداره و روزی ده دقیقه عقب میفته,متاسفانه ساعت کارکرد نداره و روزی‌ده دقیقه عقب میفته,"[('متاسفانه', 'ADV'), ('ساعت', 'NOUN'), ('کارکرد', 'NOUN'), ('نداره', 'VERB'), ('و', 'CCONJ'), ('روزی\u200cده', 'NOUN'), ('دقیقه', 'NOUN'), ('عقب', 'ADV'), ('میفته', 'VERB')]"
در کل اگر دنبال یک آباژور شیک می گردید می تونه انتخاب خوبی باشه,در کل اگر دنبال یک آباژور شیک می‌گردید می‌تونه انتخاب خوبی باشه,"[('در', 'ADP'), ('کل', 'NOUN'), ('اگر', 'SCONJ'), ('دنبال', 'NOUN,EZ'), ('یک', 'NUM'), ('آباژور', 'NOUN'), ('شیک', 'ADJ'), ('می\u200cگردید', 'VERB'), ('می\u200cتونه', 'VERB'), ('انتخاب', 'NOUN,EZ'), ('خوبی', 'ADJ'), ('باشه', 'VERB')]"
نسبت به باطری اورجینال خود گوشی حرفی برای گفتن نداره بسیار کمتر از ظرفیت اسمیش توان داره شاید در حد 1500 میلی آمپر به زور یک روز رو دوام میاره .فابریک خود گوشی سه روز موندگاری داشت در بدترین شرایط دو روز کامل اما این در بهترین شرایط یک روز و نیم بدون فشار آوردن بهش دوام داره.,نسبت به باطری اورجینال خود گوشی حرفی برای گفتن نداره بسیار کمتر از ظرفیت اسمیش توان داره شاید در حد ۱۵۰۰ میلی‌آمپر به زور یک روز رو دوام میاره فابریک خود گوشی سه روز موندگاری داشت در بدترین شرایط دو روز کامل اما این در بهترین شرایط یک روز و نیم بدون فشار آوردن بهش دوام داره,"[('نسبت', 'NOUN'), ('به', 'ADP'), ('باطری', 'NOUN,EZ'), ('اورجینال', 'NOUN,EZ'), ('خود', 'PRON'), ('گوشی', 'NOUN'), ('حرفی', 'NOUN'), ('برای', 'ADP,EZ'), ('گفتن', 'NOUN'), ('نداره', 'VERB'), ('بسیار', 'ADV'), ('کمتر', 'ADJ'), ('از', 'ADP'), ('ظرفیت', 'NOUN,EZ'), ('اسمیش', 'NOUN'), ('توان', 'NOUN'), ('داره', 'VERB'), ('شاید', 'ADV'), ('در', 'ADP'), ('حد', 'NOUN,EZ'), ('۱۵۰۰', 'NUM'), ('میلی\u200cآمپر', 'NOUN'), ('به', 'ADP'), ('زور', 'NOUN,EZ'), ('یک', 'NUM'), ('روز', 'NOUN'), ('رو', 'ADP'), ('دوام', 'NOUN'), ('میاره', 'VERB'), ('فابریک', 'NOUN,EZ'), ('خود', 'PRON'), ('گوشی', 'NOUN,EZ'), ('سه', 'NUM'), ('روز', 'NOUN'), ('موندگاری', 'NOUN'), ('داشت', 'VERB'), ('در', 'ADP'), ('بدترین', 'ADJ'), ('شرایط', 'NOUN,EZ'), ('دو', 'NUM'), ('روز', 'NOUN,EZ'), ('کامل', 'ADJ'), ('اما', 'CCONJ'), ('این', 'PRON'), ('در', 'ADP'), ('بهترین', 'ADJ'), ('شرایط', 'NOUN,EZ'), ('یک', 'NUM'), ('روز', 'NOUN'), ('و', 'CCONJ'), ('نیم', 'NUM'), ('بدون', 'ADP,EZ'), ('فشار', 'NOUN'), ('آوردن', 'NOUN,EZ'), ('بهش', 'ADP'), ('دوام', 'NOUN'), ('داره', 'VERB')]"
"گوشی خوش دست و سبکیه و دو سیم کارت هستش. رم هم میخوره.چراغ قوه داره.
جنس بدنش هم با کیفیته.طراحی فنلاند و ساخت ویتنامه.ایراد خاصی نداره فقط در اوردن باتریش کمی سخته.","گوشی خوش‌دست و سبکیه و دو سیم‌کارت هستش رم هم میخوره چراغ‌قوه داره 
جنس بدنش هم با کیفیته طراحی فنلاند و ساخت ویتنامه ایراد خاصی نداره فقط در اوردن باتریش کمی سخته","[('گوشی', 'NOUN,EZ'), ('خوش\u200cدست', 'ADJ'), ('و', 'CCONJ'), ('سبکیه', 'NOUN'), ('و', 'CCONJ'), ('دو', 'NUM'), ('سیم\u200cکارت', 'NOUN,EZ'), ('هستش', 'NOUN,EZ'), ('رم', 'NOUN'), ('هم', 'CCONJ'), ('میخوره', 'VERB'), ('چراغ\u200cقوه', 'NOUN'), ('داره', 'VERB'), ('جنس', 'NOUN,EZ'), ('بدنش', 'NOUN'), ('هم', 'CCONJ'), ('با', 'ADP'), ('کیفیته', 'NOUN'), ('طراحی', 'NOUN,EZ'), ('فنلاند', 'NOUN'), ('و', 'CCONJ'), ('ساخت', 'NOUN,EZ'), ('ویتنامه', 'NOUN'), ('ایراد', 'NOUN,EZ'), ('خاصی', 'ADJ'), ('نداره', 'VERB'), ('فقط', 'ADV'), ('در', 'ADP'), ('اوردن', 'NOUN,EZ'), ('باتریش', 'NOUN'), ('کمی', 'NOUN,EZ'), ('سخته', 'ADJ')]"
توی شگفت انگیز قیمتش خوب بود,توی شگفت‌انگیز قیمتش خوب بود,"[('توی', 'ADP,EZ'), ('شگفت\u200cانگیز', 'ADJ,EZ'), ('قیمتش', 'NOUN'), ('خوب', 'ADJ'), ('بود', 'VERB')]"
درکل شیکه.از عکسشم قشنگ تره.رنگ قرمز و زرشکیشم فرقی باهم نداره و هردو زرشکی هستن,درکل شیکه از عکسشم قشنگ تره رنگ قرمز و زرشکیشم فرقی باهم نداره و هردو زرشکی هستن,"[('درکل', 'ADV'), ('شیکه', 'NOUN'), ('از', 'ADP'), ('عکسشم', 'NOUN,EZ'), ('قشنگ', 'ADJ,EZ'), ('تره', 'NOUN'), ('رنگ', 'NOUN,EZ'), ('قرمز', 'ADJ'), ('و', 'CCONJ'), ('زرشکیشم', 'NOUN'), ('فرقی', 'NOUN'), ('باهم', 'ADP'), ('نداره', 'VERB'), ('و', 'CCONJ'), ('هردو', 'NOUN'), ('زرشکی', 'NOUN'), ('هستن', 'VERB')]"
قیمت بالا نسبت به رقبا,قیمت بالا نسبت به رقبا,"[('قیمت', 'NOUN,EZ'), ('بالا', 'ADJ'), ('نسبت', 'NOUN'), ('به', 'ADP'), ('رقبا', 'NOUN')]"
برای کارهای ظریف خوبه ولی سر فک انبردست بهم نمیچسبه,برای کارهای ظریف خوبه ولی سر فک انبردست بهم نمیچسبه,"[('برای', 'ADP,EZ'), ('کارهای', 'NOUN,EZ'), ('ظریف', 'ADJ'), ('خوبه', 'VERB'), ('ولی', 'CCONJ'), ('سر', 'NOUN,EZ'), ('فک', 'NOUN'), ('انبردست', 'VERB'), ('بهم', 'ADP'), ('نمیچسبه', 'VERB')]"
"من این محصول را از دیجی کالا گرفتم و راضیم ازش ! کسانی که با زیر نویس فارسی مشکل دارند ، باید طبق اموزش من عمل کنند ، حالا چه این محصول باشد و چه سایر محصولات سونی ( سونی همانند سامسونگ و ال جی ، از زبان فارسی پشتیبانی میکند ) : 
1- فایل زیر نویس و فایل فیلم را هم نام کنید .
2- زیر نویس را با برنامه notepad باز کنید .
3- گزینه File را بزنید .
4- گزینه Save as  را بزنید.
5-از باکس Encoding گزینه UTF-8 را بزنید.
6- گزینه Save را بزنید.
7- برروی دکمه سبز رنگ کنترل که مخصوص زیرنویس است کلیک کنید وگزینه Font12-UTF-16 را انتخاب کنید .","من این محصول را از دیجی کالا گرفتم و راضیم ازش کسانی که با زیر نویس فارسی مشکل دارند باید طبق اموزش من عمل کنند حالا چه این محصول باشد و چه سایر محصولات سونی سونی همانند سامسونگ و ال‌جی از زبان فارسی پشتیبانی می‌کند 
۱  فایل زیر نویس و فایل فیلم را هم نام کنید 
۲  زیر نویس را با برنامه notepad باز کنید 
۳  گزینه File را بزنید 
۴  گزینه Save as را بزنید 
۵ از باکس Encoding گزینه UTF ۸ را بزنید 
۶  گزینه Save را بزنید 
۷  برروی دکمه سبز رنگ کنترل که مخصوص زیرنویس است کلیک کنید وگزینه Font ۱۲ UTF ۱۶ را انتخاب کنید","[('من', 'PRON'), ('این', 'DET'), ('محصول', 'NOUN'), ('را', 'ADP'), ('از', 'ADP'), ('دیجی', 'ADJ,EZ'), ('کالا', 'NOUN'), ('گرفتم', 'VERB'), ('و', 'CCONJ'), ('راضیم', 'VERB'), ('ازش', 'ADP'), ('کسانی', 'NOUN'), ('که', 'SCONJ'), ('با', 'ADP'), ('زیر', 'NOUN,EZ'), ('نویس', 'NOUN,EZ'), ('فارسی', 'NOUN'), ('مشکل', 'NOUN'), ('دارند', 'VERB'), ('باید', 'VERB'), ('طبق', 'NOUN,EZ'), ('اموزش', 'NOUN,EZ'), ('من', 'PRON'), ('عمل', 'NOUN'), ('کنند', 'VERB'), ('حالا', 'ADV'), ('چه', 'SCONJ'), ('این', 'DET'), ('محصول', 'NOUN'), ('باشد', 'VERB'), ('و', 'CCONJ'), ('چه', 'SCONJ'), ('سایر', 'NOUN,EZ'), ('محصولات', 'NOUN,EZ'), ('سونی', 'NOUN'), ('سونی', 'NOUN'), ('همانند', 'ADV,EZ'), ('سامسونگ', 'NOUN'), ('و', 'CCONJ'), ('ال\u200cجی', 'NOUN'), ('از', 'ADP'), ('زبان', 'NOUN,EZ'), ('فارسی', 'NOUN'), ('پشتیبانی', 'NOUN'), ('می\u200cکند', 'VERB'), ('۱', 'NUM'), ('فایل', 'NOUN,EZ'), ('زیر', 'ADP,EZ'), ('نویس', 'NOUN'), ('و', 'CCONJ'), ('فایل', 'NOUN,EZ'), ('فیلم', 'NOUN'), ('را', 'ADP'), ('هم', 'CCONJ'), ('نام', 'NOUN'), ('کنید', 'VERB'), ('۲', 'NUM'), ('زیر', 'ADP,EZ'), ('نویس', 'NOUN'), ('را', 'ADP'), ('با', 'ADP'), ('برنامه', 'NOUN,EZ'), ('notepad', 'NOUN'), ('باز', 'ADJ'), ('کنید', 'VERB'), ('۳', 'NUM'), ('گزینه', 'NOUN,EZ'), ('File', 'NOUN'), ('را', 'ADP'), ('بزنید', 'VERB'), ('۴', 'NUM'), ('گزینه', 'NOUN,EZ'), ('Save', 'NOUN'), ('as', 'NOUN'), ('را', 'ADP'), ('بزنید', 'VERB'), ('۵', 'NUM'), ('از', 'ADP'), ('باکس', 'NOUN,EZ'), ('Encoding', 'NOUN'), ('گزینه', 'NOUN,EZ'), ('UTF', 'NOUN'), ('۸', 'NUM'), ('را', 'ADP'), ('بزنید', 'VERB'), ('۶', 'NUM'), ('گزینه', 'NOUN,EZ'), ('Save', 'NOUN'), ('را', 'ADP'), ('بزنید', 'VERB'), ('۷', 'NUM'), ('برروی', 'ADP,EZ'), ('دکمه', 'NOUN,EZ'), ('سبز', 'ADJ'), ('رنگ', 'NOUN,EZ'), ('کنترل', 'NOUN'), ('که', 'SCONJ'), ('مخصوص', 'ADJ,EZ'), ('زیرنویس', 'NOUN'), ('است', 'VERB'), ('کلیک', 'NOUN'), ('کنید', 'VERB'), ('وگزینه', 'NOUN'), ('Font', 'NOUN'), ('۱۲', 'NUM'), ('UTF', 'NOUN'), ('۱۶', 'NUM'), ('را', 'ADP'), ('انتخاب', 'NOUN'), ('کنید', 'VERB')]"
